company_name,ticker,sector,ticker_yfinance,currency,exchange,country,index,has_adr,adr_ticker
Iron Mountain,IRM,Real Estate,IRM,USD,NYSE/NASDAQ,US,SP500,False,
J.B. Hunt,JBHT,Industrials,JBHT,USD,NYSE/NASDAQ,US,SP500,False,
Jabil,JBL,Information Technology,JBL,USD,NYSE/NASDAQ,US,SP500,False,
Jack Henry & Associates,JKHY,Financials,JKHY,USD,NYSE/NASDAQ,US,SP500,False,
Jacobs Solutions,J,Industrials,J,USD,NYSE/NASDAQ,US,SP500,False,
Johnson & Johnson,JNJ,Health Care,JNJ,USD,NYSE/NASDAQ,US,SP500,False,
Johnson Controls,JCI,Industrials,JCI,USD,NYSE/NASDAQ,US,SP500,False,
JPMorgan Chase,JPM,Financials,JPM,USD,NYSE/NASDAQ,US,SP500,False,
Kenvue,KVUE,Consumer Staples,KVUE,USD,NYSE/NASDAQ,US,SP500,False,
Keurig Dr Pepper,KDP,Consumer Staples,KDP,USD,NYSE/NASDAQ,US,SP500,False,
KeyCorp,KEY,Financials,KEY,USD,NYSE/NASDAQ,US,SP500,False,
Keysight Technologies,KEYS,Information Technology,KEYS,USD,NYSE/NASDAQ,US,SP500,False,
Kimberly-Clark,KMB,Consumer Staples,KMB,USD,NYSE/NASDAQ,US,SP500,False,
Kimco Realty,KIM,Real Estate,KIM,USD,NYSE/NASDAQ,US,SP500,False,
Kinder Morgan,KMI,Energy,KMI,USD,NYSE/NASDAQ,US,SP500,False,
KKR & Co.,KKR,Financials,KKR,USD,NYSE/NASDAQ,US,SP500,False,
KLA Corporation,KLAC,Information Technology,KLAC,USD,NYSE/NASDAQ,US,SP500,False,
Kraft Heinz,KHC,Consumer Staples,KHC,USD,NYSE/NASDAQ,US,SP500,False,
Kroger,KR,Consumer Staples,KR,USD,NYSE/NASDAQ,US,SP500,False,
L3Harris,LHX,Industrials,LHX,USD,NYSE/NASDAQ,US,SP500,False,
Labcorp,LH,Health Care,LH,USD,NYSE/NASDAQ,US,SP500,False,
Lam Research,LRCX,Information Technology,LRCX,USD,NYSE/NASDAQ,US,SP500,False,
Las Vegas Sands,LVS,Consumer Discretionary,LVS,USD,NYSE/NASDAQ,US,SP500,False,
Leidos,LDOS,Industrials,LDOS,USD,NYSE/NASDAQ,US,SP500,False,
Lennar,LEN,Consumer Discretionary,LEN,USD,NYSE/NASDAQ,US,SP500,False,
Lennox International,LII,Industrials,LII,USD,NYSE/NASDAQ,US,SP500,False,
Lilly (Eli),LLY,Health Care,LLY,USD,NYSE/NASDAQ,US,SP500,False,
Linde plc,LIN,Materials,LIN,USD,NYSE/NASDAQ,US,SP500,False,
Live Nation Entertainment,LYV,Communication Services,LYV,USD,NYSE/NASDAQ,US,SP500,False,
Lockheed Martin,LMT,Industrials,LMT,USD,NYSE/NASDAQ,US,SP500,False,
